支付宝交易记录明细查询
账号:[demo@example.com]
起始日期:[2026-04-01 00:00:00]    终止日期:[2026-09-01 23:59:59]
----------------------交易记录明细列表--------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注
2026-04-07 13:34:42,交通出行,深圳地铁,,乘车码,支出,5.18,余额宝,交易成功,2026040700000021,,
2026-04-07 13:45:29,交通出行,哈啰单车,,骑行,支出,2.86,花呗,交易成功,2026040700000022,,
2026-04-07 14:16:48,餐饮美食,沙县小吃,,拌面蒸饺,支出,19.38,账户余额,交易成功,2026040700000023,,
2026-04-07 19:40:27,餐饮美食,学校食堂,,就餐,支出,11.72,账户余额,交易成功,2026040700000024,,
2026-04-07 22:56:40,学习教育,当当网,,图书,支出,40.73,招商银行(1234),交易成功,2026040700000025,,
2026-04-08 11:34:34,交通出行,深圳地铁,,乘车码,支出,9.77,账户余额,交易成功,2026040800000026,,
2026-04-08 14:41:07,日用百货,拼多多,,日用品,支出,59.42,余额宝,交易成功,2026040800000027,,
2026-04-09 12:40:57,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,36.06,余额宝,交易成功,2026040900000028,,
2026-04-09 18:24:13,餐饮美食,学校食堂,,就餐,支出,15.14,账户余额,交易成功,2026040900000029,,
2026-04-09 20:23:24,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,25.51,余额宝,交易成功,2026040900000030,,
2026-04-10 12:53:59,收入,妈妈,,生活费,收入,1686.94,账户余额,交易成功,2026041000000031,,
2026-04-10 16:41:45,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,10.06,招商银行(1234),交易成功,2026041000000032,,
2026-04-10 16:49:00,交通出行,12306,,高铁票,支出,169.62,余额宝,交易成功,2026041000000033,,
2026-04-10 17:50:11,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,29.26,余额宝,交易成功,2026041000000034,,
2026-04-10 17:59:02,餐饮美食,学校食堂,,就餐,支出,13.39,余额宝,交易成功,2026041000000035,,
2026-04-10 21:39:17,日用百货,沃尔玛,,超市购物,支出,91.57,账户余额,交易成功,2026041000000036,,
2026-04-11 15:06:23,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,20.80,余额宝,交易成功,2026041100000037,,
2026-04-11 16:15:34,餐饮美食,学校食堂,,就餐,支出,14.99,花呗,交易成功,2026041100000038,,
2026-04-11 18:50:21,交通出行,哈啰单车,,骑行,支出,4.28,账户余额,交易成功,2026041100000039,,
2026-04-11 19:41:41,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,7.73,花呗,交易成功,2026041100000040,,
2026-04-11 20:26:22,交通出行,深圳地铁,,乘车码,支出,5.06,花呗,交易成功,2026041100000041,,
2026-04-11 22:11:48,餐饮美食,学校食堂,,就餐,支出,8.60,招商银行(1234),交易成功,2026041100000042,,
2026-04-12 07:58:34,交通出行,深圳地铁,,乘车码,支出,11.62,花呗,交易成功,2026041200000043,,
2026-04-12 21:04:13,交通出行,深圳地铁,,乘车码,支出,8.16,招商银行(1234),交易成功,2026041200000044,,
2026-04-13 14:03:14,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,37.93,招商银行(1234),交易成功,2026041300000045,,
2026-04-14 10:42:48,交通出行,深圳地铁,,乘车码,支出,11.56,余额宝,交易成功,2026041400000046,,
2026-04-14 14:13:10,餐饮美食,学校食堂,,就餐,支出,16.30,招商银行(1234),交易成功,2026041400000047,,
2026-04-15 08:21:27,交通出行,哈啰单车,,骑行,支出,2.86,花呗,交易成功,2026041500000048,,
2026-04-15 11:34:36,交通出行,哈啰单车,,骑行,支出,2.25,花呗,交易成功,2026041500000049,,
2026-04-15 14:34:59,生活缴费,国家电网,,电费,支出,123.64,账户余额,交易成功,2026041500000050,,
2026-04-15 15:23:40,交通出行,深圳地铁,,乘车码,支出,8.46,账户余额,交易成功,2026041500000051,,
2026-04-15 15:43:18,交通出行,哈啰单车,,骑行,支出,2.37,余额宝,交易成功,2026041500000052,,
2026-04-15 15:56:39,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,6.49,余额宝,交易成功,2026041500000053,,
2026-04-15 16:18:44,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,11.93,招商银行(1234),交易成功,2026041500000054,,
2026-04-15 19:22:23,日用百货,拼多多,,日用品,支出,88.55,招商银行(1234),交易成功,2026041500000055,,
2026-04-15 21:34:31,餐饮美食,美团外卖,,午餐订单,支出,29.06,账户余额,交易成功,2026041500000056,,
2026-04-16 15:16:12,餐饮美食,学校食堂,,就餐,支出,11.02,余额宝,交易成功,2026041600000057,,
2026-04-16 21:22:45,交通出行,深圳地铁,,乘车码,支出,5.27,账户余额,交易成功,2026041600000058,,
2026-04-17 10:30:37,餐饮美食,美团外卖,,午餐订单,支出,28.73,账户余额,交易成功,2026041700000059,,
2026-04-17 21:13:28,交通出行,深圳地铁,,乘车码,支出,9.08,账户余额,交易成功,2026041700000060,,
2026-04-17 21:31:43,交通出行,深圳地铁,,乘车码,支出,5.82,花呗,交易成功,2026041700000061,,
2026-04-18 08:57:38,餐饮美食,美团外卖,,午餐订单,支出,36.77,余额宝,交易成功,2026041800000062,,
2026-04-18 11:43:52,生活缴费,中国移动,,话费充值,支出,78.60,招商银行(1234),交易成功,2026041800000063,,
2026-04-18 16:48:33,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,41.92,账户余额,交易成功,2026041800000064,,
2026-04-18 20:53:20,交通出行,哈啰单车,,骑行,支出,2.48,账户余额,交易成功,2026041800000065,,
2026-04-18 20:56:51,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,21.50,花呗,交易成功,2026041800000066,,
2026-04-18 23:49:45,交通出行,滴滴出行,,快车行程,支出,34.92,花呗,交易成功,2026041800000067,,
2026-04-19 13:00:58,交通出行,哈啰单车,,骑行,支出,3.23,余额宝,交易成功,2026041900000068,,
2026-04-20 11:56:24,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,7.36,花呗,交易成功,2026042000000069,,
2026-04-20 14:37:38,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,6.95,招商银行(1234),交易成功,2026042000000070,,
2026-04-20 19:32:52,交通出行,深圳地铁,,乘车码,支出,7.59,账户余额,交易成功,2026042000000071,,
2026-04-21 08:49:58,日用百货,京东商城,,数码配件,支出,244.33,账户余额,交易成功,2026042100000072,,
2026-04-21 13:18:32,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,9.88,花呗,交易成功,2026042100000073,,
2026-04-21 22:13:02,交通出行,深圳地铁,,乘车码,支出,3.16,余额宝,交易成功,2026042100000074,,
2026-04-22 15:23:56,餐饮美食,学校食堂,,就餐,支出,12.65,账户余额,交易成功,2026042200000075,,
2026-04-22 15:24:57,餐饮美食,美团外卖,,午餐订单,支出,23.77,余额宝,交易成功,2026042200000076,,
2026-04-22 20:13:18,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,16.86,花呗,交易成功,2026042200000077,,
2026-04-23 11:13:35,餐饮美食,学校食堂,,就餐,支出,18.65,账户余额,交易成功,2026042300000078,,
2026-04-23 13:53:14,交通出行,深圳地铁,,乘车码,支出,9.69,花呗,交易成功,2026042300000079,,
2026-04-24 07:42:24,餐饮美食,美团外卖,,午餐订单,支出,37.55,账户余额,交易成功,2026042400000080,,
2026-04-24 10:08:37,日用百货,拼多多,,日用品,支出,48.95,花呗,交易成功,2026042400000081,,
2026-04-24 11:00:04,日用百货,拼多多,,日用品,支出,84.43,花呗,交易成功,2026042400000082,,
2026-04-24 13:18:55,收入,公司,,工资代发,收入,8000.00,余额宝,交易成功,2026042400000083,,
2026-04-24 15:26:05,交通出行,哈啰单车,,骑行,支出,4.99,余额宝,交易成功,2026042400000084,,
2026-04-24 17:31:07,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,36.05,招商银行(1234),交易成功,2026042400000085,,
2026-04-24 20:25:16,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,19.44,余额宝,交易成功,2026042400000086,,
2026-04-24 22:22:35,交通出行,滴滴出行,,快车行程,支出,47.01,账户余额,交易成功,2026042400000087,,
2026-04-25 18:05:14,餐饮美食,学校食堂,,就餐,支出,10.66,招商银行(1234),交易成功,2026042500000088,,
2026-04-25 19:17:05,交通出行,滴滴出行,,快车行程,支出,44.30,账户余额,交易成功,2026042500000089,,
2026-04-26 07:04:28,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,26.94,账户余额,交易成功,2026042600000090,,
2026-04-26 07:22:55,数码电器,嘉立创,,PCB打样+元器件,支出,125.59,招商银行(1234),交易成功,2026042600000091,,
2026-04-26 13:29:53,餐饮美食,沙县小吃,,拌面蒸饺,支出,22.56,余额宝,交易成功,2026042600000092,,
2026-04-26 17:14:04,餐饮美食,沙县小吃,,拌面蒸饺,支出,22.71,招商银行(1234),交易成功,2026042600000093,,
2026-04-26 18:21:30,餐饮美食,学校食堂,,就餐,支出,11.58,招商银行(1234),交易成功,2026042600000094,,
2026-04-27 08:05:18,餐饮美食,学校食堂,,就餐,支出,12.89,余额宝,交易成功,2026042700000095,,
2026-04-27 08:33:56,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,10.72,招商银行(1234),交易成功,2026042700000096,,
2026-04-27 09:33:34,服饰装扮,优衣库,,服饰,支出,332.46,余额宝,交易成功,2026042700000097,,
2026-04-27 09:47:57,餐饮美食,沙县小吃,,拌面蒸饺,支出,22.00,花呗,交易成功,2026042700000098,,
2026-04-27 18:25:47,日用百货,拼多多,,日用品,支出,37.35,余额宝,交易成功,2026042700000099,,
2026-04-28 08:59:43,餐饮美食,学校食堂,,就餐,支出,9.79,账户余额,交易成功,2026042800000100,,
2026-04-28 09:04:56,餐饮美食,学校食堂,,就餐,支出,14.29,余额宝,交易成功,2026042800000101,,
2026-04-28 11:06:25,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,22.73,花呗,交易成功,2026042800000102,,
2026-04-28 12:07:25,餐饮美食,沙县小吃,,拌面蒸饺,支出,12.16,账户余额,交易成功,2026042800000103,,
2026-04-28 18:10:37,日用百货,京东商城,,数码配件,支出,214.75,账户余额,交易成功,2026042800000104,,
2026-04-29 18:40:17,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,28.49,花呗,交易成功,2026042900000105,,
2026-04-29 19:17:35,运动户外,健身房,,月卡,支出,188.96,招商银行(1234),交易成功,2026042900000106,,
2026-04-29 20:39:53,交通出行,哈啰单车,,骑行,支出,4.05,余额宝,交易成功,2026042900000107,,
2026-04-30 12:36:00,交通出行,深圳地铁,,乘车码,支出,6.63,花呗,交易成功,2026043000000108,,
2026-04-30 19:38:02,交通出行,深圳地铁,,乘车码,支出,3.65,招商银行(1234),交易成功,2026043000000109,,
2026-05-01 12:43:06,交通出行,深圳地铁,,乘车码,支出,9.50,账户余额,交易成功,2026050100000110,,
2026-05-01 12:57:04,餐饮美食,学校食堂,,就餐,支出,17.97,余额宝,交易成功,2026050100000111,,
2026-05-01 16:11:03,日用百货,拼多多,,日用品,支出,21.11,花呗,交易成功,2026050100000112,,
2026-05-01 23:17:01,交通出行,滴滴出行,,快车行程,支出,16.19,账户余额,交易成功,2026050100000113,,
2026-05-02 13:04:11,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,8.76,花呗,交易成功,2026050200000114,,
2026-05-02 21:42:42,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,19.27,账户余额,交易成功,2026050200000115,,
2026-05-03 07:37:36,交通出行,滴滴出行,,快车行程,支出,38.40,花呗,交易成功,2026050300000116,,
2026-05-03 07:43:08,餐饮美食,沙县小吃,,拌面蒸饺,支出,19.41,余额宝,交易成功,2026050300000117,,
2026-05-03 09:44:16,餐饮美食,美团外卖,,午餐订单,支出,29.27,招商银行(1234),交易成功,2026050300000118,,
2026-05-03 13:26:39,餐饮美食,学校食堂,,就餐,支出,16.19,账户余额,交易成功,2026050300000119,,
2026-05-03 14:10:58,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,40.52,花呗,交易成功,2026050300000120,,
2026-05-03 17:01:04,交通出行,滴滴出行,,快车行程,支出,18.22,账户余额,交易成功,2026050300000121,,
2026-05-03 19:26:06,交通出行,哈啰单车,,骑行,支出,3.81,余额宝,交易成功,2026050300000122,,
2026-05-05 10:23:23,交通出行,哈啰单车,,骑行,支出,4.86,花呗,交易成功,2026050500000123,,
2026-05-05 16:43:46,餐饮美食,沙县小吃,,拌面蒸饺,支出,15.52,花呗,交易成功,2026050500000124,,
2026-05-06 11:15:17,数码电器,嘉立创,,PCB打样+元器件,支出,38.32,余额宝,交易成功,2026050600000125,,
2026-05-06 13:58:33,餐饮美食,美团外卖,,午餐订单,支出,21.72,花呗,交易成功,2026050600000126,,
2026-05-06 14:20:14,日用百货,拼多多,,日用品,支出,47.42,招商银行(1234),交易成功,2026050600000127,,
2026-05-06 21:02:43,交通出行,哈啰单车,,骑行,支出,4.34,账户余额,交易成功,2026050600000128,,
2026-05-06 21:29:44,交通出行,滴滴出行,,快车行程,支出,30.65,花呗,交易成功,2026050600000129,,
2026-05-06 22:19:17,餐饮美食,学校食堂,,就餐,支出,16.19,余额宝,交易成功,2026050600000130,,
2026-05-07 13:35:06,餐饮美食,学校食堂,,就餐,支出,10.17,花呗,交易成功,2026050700000131,,
2026-05-07 14:10:27,数码电器,嘉立创,,PCB打样+元器件,支出,83.97,余额宝,交易成功,2026050700000132,,
2026-05-09 10:51:39,日用百货,京东商城,,数码配件,支出,79.70,余额宝,交易成功,2026050900000133,,
2026-05-09 12:07:10,交通出行,深圳地铁,,乘车码,支出,11.74,账户余额,交易成功,2026050900000134,,
2026-05-09 14:46:53,餐饮美食,学校食堂,,就餐,支出,10.24,招商银行(1234),交易成功,2026050900000135,,
2026-05-10 07:14:01,餐饮美食,学校食堂,,就餐,支出,15.91,账户余额,交易成功,2026051000000136,,
2026-05-10 12:23:40,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,18.15,账户余额,交易成功,2026051000000137,,
2026-05-10 14:04:55,交通出行,滴滴出行,,快车行程,支出,16.79,账户余额,交易成功,2026051000000138,,
2026-05-10 20:45:19,餐饮美食,沙县小吃,,拌面蒸饺,支出,24.14,账户余额,交易成功,2026051000000139,,
2026-05-11 09:21:25,日用百货,拼多多,,日用品,支出,34.07,余额宝,交易成功,2026051100000140,,
2026-05-11 10:50:31,交通出行,滴滴出行,,快车行程,支出,45.61,余额宝,交易成功,2026051100000141,,
2026-05-11 13:34:06,交通出行,哈啰单车,,骑行,支出,3.71,招商银行(1234),交易成功,2026051100000142,,
2026-05-12 08:02:11,餐饮美食,美团外卖,,午餐订单,支出,40.05,账户余额,交易成功,2026051200000143,,
2026-05-12 12:45:56,日用百货,拼多多,,日用品,支出,66.88,账户余额,交易成功,2026051200000144,,
2026-05-12 14:27:59,交通出行,哈啰单车,,骑行,支出,2.89,花呗,交易成功,2026051200000145,,
2026-05-12 16:51:04,餐饮美食,学校食堂,,就餐,支出,19.80,招商银行(1234),交易成功,2026051200000146,,
2026-05-12 19:22:27,文化休闲,万达影城,,电影票,支出,76.22,花呗,交易成功,2026051200000147,,
2026-05-12 20:13:25,餐饮美食,学校食堂,,就餐,支出,9.38,花呗,交易成功,2026051200000148,,
2026-05-12 22:20:20,餐饮美食,美团外卖,,午餐订单,支出,28.38,招商银行(1234),交易成功,2026051200000149,,
2026-05-13 11:14:09,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,41.94,花呗,交易成功,2026051300000150,,
2026-05-14 19:35:25,餐饮美食,学校食堂,,就餐,支出,9.68,花呗,交易成功,2026051400000151,,
2026-05-15 15:11:21,交通出行,深圳地铁,,乘车码,支出,6.74,招商银行(1234),交易成功,2026051500000152,,
2026-05-15 22:35:31,交通出行,12306,,高铁票,支出,295.38,账户余额,交易成功,2026051500000153,,
2026-05-15 22:48:34,餐饮美食,学校食堂,,就餐,支出,19.31,余额宝,交易成功,2026051500000154,,
2026-05-16 11:07:52,交通出行,哈啰单车,,骑行,支出,2.27,招商银行(1234),交易成功,2026051600000155,,
2026-05-16 17:13:46,餐饮美食,沙县小吃,,拌面蒸饺,支出,21.31,账户余额,交易成功,2026051600000156,,
2026-05-16 17:27:28,生活缴费,国家电网,,电费,支出,209.58,账户余额,交易成功,2026051600000157,,
2026-05-16 18:03:15,生活缴费,中国移动,,话费充值,支出,33.15,花呗,交易成功,2026051600000158,,
2026-05-17 08:51:40,交通出行,哈啰单车,,骑行,支出,3.66,账户余额,交易成功,2026051700000159,,
2026-05-17 10:17:02,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,6.77,招商银行(1234),交易成功,2026051700000160,,
2026-05-17 17:24:43,日用百货,沃尔玛,,超市购物,支出,82.69,招商银行(1234),交易成功,2026051700000161,,
2026-05-17 19:51:09,餐饮美食,学校食堂,,就餐,支出,15.08,账户余额,交易成功,2026051700000162,,
2026-05-17 21:58:55,日用百货,拼多多,,日用品,支出,65.11,花呗,交易成功,2026051700000163,,
2026-05-18 09:52:56,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,40.05,账户余额,交易成功,2026051800000164,,
2026-05-18 20:02:39,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,25.88,花呗,交易成功,2026051800000165,,
2026-05-18 21:06:05,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,6.46,账户余额,交易成功,2026051800000166,,
2026-05-18 23:02:47,交通出行,哈啰单车,,骑行,支出,4.06,招商银行(1234),交易成功,2026051800000167,,
2026-05-19 07:23:14,餐饮美食,美团外卖,,午餐订单,支出,23.07,招商银行(1234),交易成功,2026051900000168,,
2026-05-19 09:13:18,餐饮美食,美团外卖,,午餐订单,支出,27.76,花呗,交易成功,2026051900000169,,
2026-05-19 19:34:41,交通出行,深圳地铁,,乘车码,支出,10.27,招商银行(1234),交易成功,2026051900000170,,
2026-05-20 10:16:05,交通出行,深圳地铁,,乘车码,支出,11.80,账户余额,交易成功,2026052000000171,,
2026-05-20 16:04:47,文化休闲,Steam,,游戏,支出,47.79,招商银行(1234),交易成功,2026052000000172,,
2026-05-21 12:02:37,餐饮美食,学校食堂,,就餐,支出,16.64,花呗,交易成功,2026052100000173,,
2026-05-21 22:18:51,收入,公司,,工资代发,收入,8000.00,账户余额,交易成功,2026052100000174,,
2026-05-21 23:41:00,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,25.39,招商银行(1234),交易成功,2026052100000175,,
2026-05-23 07:07:50,交通出行,哈啰单车,,骑行,支出,4.64,招商银行(1234),交易成功,2026052300000176,,
2026-05-23 07:26:48,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,26.65,余额宝,交易成功,2026052300000177,,
2026-05-23 17:10:30,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,41.98,账户余额,交易成功,2026052300000178,,
2026-05-23 18:12:19,交通出行,哈啰单车,,骑行,支出,2.12,余额宝,交易成功,2026052300000179,,
2026-05-23 21:30:29,餐饮美食,蜜雪冰城,,冰鲜柠檬水,支出,11.08,花呗,交易成功,2026052300000180,,
2026-05-24 07:10:51,交通出行,哈啰单车,,骑行,支出,2.65,招商银行(1234),交易成功,2026052400000181,,
2026-05-24 13:54:56,餐饮美食,美团外卖,,午餐订单,支出,23.92,招商银行(1234),交易成功,2026052400000182,,
2026-05-24 14:38:54,餐饮美食,学校食堂,,就餐,支出,15.29,余额宝,交易成功,2026052400000183,,
2026-05-25 15:45:00,日用百货,沃尔玛,,超市购物,支出,52.52,账户余额,交易成功,2026052500000184,,
2026-05-25 19:09:29,交通出行,深圳地铁,,乘车码,支出,8.40,账户余额,交易成功,2026052500000185,,
2026-05-25 19:48:25,餐饮美食,学校食堂,,就餐,支出,11.91,账户余额,交易成功,2026052500000186,,
2026-05-25 20:21:39,餐饮美食,美团外卖,,午餐订单,支出,34.59,余额宝,交易成功,2026052500000187,,
2026-05-26 07:04:41,交通出行,深圳地铁,,乘车码,支出,10.81,余额宝,交易成功,2026052600000188,,
2026-05-26 13:35:52,餐饮美食,学校食堂,,就餐,支出,13.68,余额宝,交易成功,2026052600000189,,
2026-05-26 14:55:25,餐饮美食,学校食堂,,就餐,支出,18.05,余额宝,交易成功,2026052600000190,,
2026-05-26 15:21:27,日用百货,沃尔玛,,超市购物,支出,143.57,账户余额,交易成功,2026052600000191,,
2026-05-26 22:33:34,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,25.86,花呗,交易成功,2026052600000192,,
2026-05-26 22:42:36,交通出行,深圳地铁,,乘车码,支出,3.29,余额宝,交易成功,2026052600000193,,
2026-05-27 19:16:40,餐饮美食,美团外卖,,午餐订单,支出,19.72,账户余额,交易成功,2026052700000194,,
2026-05-27 22:07:49,医疗健康,大药房,,药品,支出,95.01,花呗,交易成功,2026052700000195,,
2026-05-27 23:14:23,餐饮美食,学校食堂,,就餐,支出,12.27,账户余额,交易成功,2026052700000196,,
2026-05-28 07:11:47,医疗健康,大药房,,药品,支出,64.92,招商银行(1234),交易成功,2026052800000197,,
2026-05-28 18:36:14,交通出行,滴滴出行,,快车行程,支出,46.08,花呗,交易成功,2026052800000198,,
2026-05-30 11:20:26,收入,妈妈,,生活费,收入,1867.63,花呗,交易成功,2026053000000199,,
2026-05-31 13:04:05,数码电器,嘉立创,,PCB打样+元器件,支出,60.39,花呗,交易成功,2026053100000200,,
2026-06-01 13:46:01,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,24.96,账户余额,交易成功,2026060100000201,,
2026-06-01 17:45:51,餐饮美食,学校食堂,,就餐,支出,10.91,招商银行(1234),交易成功,2026060100000202,,
2026-06-01 21:23:06,日用百货,京东商城,,数码配件,支出,37.93,花呗,交易成功,2026060100000203,,
2026-06-02 08:46:46,餐饮美食,沙县小吃,,拌面蒸饺,支出,16.19,余额宝,交易成功,2026060200000204,,
2026-06-02 17:42:10,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,24.40,花呗,交易成功,2026060200000205,,
2026-06-02 18:55:36,服饰装扮,优衣库,,服饰,支出,194.92,招商银行(1234),交易成功,2026060200000206,,
2026-06-03 07:08:30,文化休闲,Steam,,游戏,支出,105.30,招商银行(1234),交易成功,2026060300000207,,
2026-06-03 17:07:07,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,27.48,花呗,交易成功,2026060300000208,,
2026-06-04 09:51:29,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,37.01,账户余额,交易成功,2026060400000209,,
2026-06-04 16:31:29,日用百货,拼多多,,日用品,支出,21.96,花呗,交易成功,2026060400000210,,
2026-06-04 19:42:27,餐饮美食,学校食堂,,就餐,支出,16.06,账户余额,交易成功,2026060400000211,,
2026-06-04 20:20:14,餐饮美食,美团外卖,,午餐订单,支出,36.33,账户余额,交易成功,2026060400000212,,
2026-06-05 12:55:32,生活缴费,中国移动,,话费充值,支出,45.72,招商银行(1234),交易成功,2026060500000213,,
2026-06-06 20:01:26,餐饮美食,美团外卖,,午餐订单,支出,41.10,余额宝,交易成功,2026060600000214,,
2026-06-06 23:04:41,日用百货,京东商城,,数码配件,支出,53.68,账户余额,交易成功,2026060600000215,,
2026-06-06 23:56:53,餐饮美食,学校食堂,,就餐,支出,15.05,余额宝,交易成功,2026060600000216,,
2026-06-07 07:02:39,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,20.76,招商银行(1234),交易成功,2026060700000217,,
2026-06-07 08:25:15,餐饮美食,美团外卖,,午餐订单,支出,26.11,花呗,交易成功,2026060700000218,,
2026-06-07 18:49:58,日用百货,沃尔玛,,超市购物,支出,71.86,余额宝,交易成功,2026060700000219,,
2026-06-08 10:59:38,数码电器,嘉立创,,PCB打样+元器件,支出,104.40,余额宝,交易成功,2026060800000220,,
2026-06-09 11:28:44,交通出行,深圳地铁,,乘车码,支出,5.00,招商银行(1234),交易成功,2026060900000221,,
2026-06-09 14:22:05,餐饮美食,美团外卖,,午餐订单,支出,40.32,账户余额,交易成功,2026060900000222,,
2026-06-10 08:06:36,餐饮美食,瑞幸咖啡,,生椰拿铁,支出,17.43,账户余额,交易成功,2026061000000223,,
2026-06-10 16:32:34,交通出行,哈啰单车,,骑行,支出,3.27,账户余额,交易成功,2026061000000224,,
2026-06-10 23:51:58,餐饮美食,肯德基,,香辣鸡腿堡套餐,支出,37.26,招商银行(1234),交易成功,2026061000000225,,
2026-06-11 09:02:32,餐饮美食,学校食堂,,就餐,支出,11.27,账户余额,交易成功,2026061100000226,,
2026-06-11 11:54:21,交通出行,深圳地铁,,乘车码,支出,7.52,余额宝,交易成功,2026061100000227,,
2026-06-11 14:10:58,服饰装扮,优衣库,,服饰,支出,232.56,账户余额,交易成功,2026061100000228,,
2026-06-11 20:24:11,餐饮美食,学校食堂,,就餐,支出,8.36,花呗,交易成功,2026061100000229,,
2026-06-13 08:27:52,交通出行,深圳地铁,,乘车码,支出,7.38,账户余额,交易成功,2026061300000230,,
2026-06-13 20:17:35,餐饮美食,美团外卖,,午餐订单,支出,41.89,余额宝,交易成功,2026061300000231,,
