微信支付账单明细
微信昵称：[演示账号]
起始日期：[2026-04-01] 终止日期：[2026-09-01]
导出类型：[全部]
----------------------微信支付账单明细列表--------------------
交易时间,交易类型,交易对方,商品,收/支,金额(元),支付方式,当前状态,交易单号,商户单号,备注
2026-04-13 14:03:14,商户消费,肯德基,/香辣鸡腿堡套餐,支出,¥37.93,零钱,支付成功,4200000000150000,/,,
2026-04-15 08:21:27,商户消费,哈啰单车,/骑行,支出,¥2.86,零钱,支付成功,4200000000160000,/,,
2026-04-15 15:23:40,商户消费,深圳地铁,/乘车码,支出,¥8.46,零钱,支付成功,4200000000170000,/,,
2026-04-15 15:43:18,商户消费,哈啰单车,/骑行,支出,¥2.37,零钱,支付成功,4200000000180000,/,,
2026-04-15 15:56:39,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥6.49,零钱,支付成功,4200000000190000,/,,
2026-04-15 16:18:44,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥11.93,零钱,支付成功,4200000000200000,/,,
2026-04-16 15:16:12,商户消费,学校食堂,/就餐,支出,¥11.02,零钱,支付成功,4200000000210000,/,,
2026-04-16 21:22:45,商户消费,深圳地铁,/乘车码,支出,¥5.27,零钱,支付成功,4200000000220000,/,,
2026-04-17 21:31:43,商户消费,深圳地铁,/乘车码,支出,¥5.82,零钱,支付成功,4200000000230000,/,,
2026-04-18 11:43:52,商户消费,中国移动,/话费充值,支出,¥78.60,零钱,支付成功,4200000000240000,/,,
2026-04-21 08:49:58,商户消费,京东商城,/数码配件,支出,¥244.33,零钱,支付成功,4200000000250000,/,,
2026-04-21 13:18:32,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥9.88,零钱,支付成功,4200000000260000,/,,
2026-04-21 22:13:02,商户消费,深圳地铁,/乘车码,支出,¥3.16,零钱,支付成功,4200000000270000,/,,
2026-04-22 15:23:56,商户消费,学校食堂,/就餐,支出,¥12.65,零钱,支付成功,4200000000280000,/,,
2026-04-22 15:24:57,商户消费,美团外卖,/午餐订单,支出,¥23.77,零钱,支付成功,4200000000290000,/,,
2026-04-22 20:13:18,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥16.86,零钱,支付成功,4200000000300000,/,,
2026-04-23 13:53:14,商户消费,深圳地铁,/乘车码,支出,¥9.69,零钱,支付成功,4200000000310000,/,,
2026-04-24 22:22:35,商户消费,滴滴出行,/快车行程,支出,¥47.01,零钱,支付成功,4200000000320000,/,,
2026-04-25 18:05:14,商户消费,学校食堂,/就餐,支出,¥10.66,零钱,支付成功,4200000000330000,/,,
2026-04-26 07:04:28,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥26.94,零钱,支付成功,4200000000340000,/,,
2026-04-26 13:29:53,商户消费,沙县小吃,/拌面蒸饺,支出,¥22.56,零钱,支付成功,4200000000350000,/,,
2026-04-26 17:14:04,商户消费,沙县小吃,/拌面蒸饺,支出,¥22.71,零钱,支付成功,4200000000360000,/,,
2026-04-26 18:21:30,商户消费,学校食堂,/就餐,支出,¥11.58,零钱,支付成功,4200000000370000,/,,
2026-04-27 08:05:18,商户消费,学校食堂,/就餐,支出,¥12.89,零钱,支付成功,4200000000380000,/,,
2026-04-27 08:33:56,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥10.72,零钱,支付成功,4200000000390000,/,,
2026-04-27 09:33:34,商户消费,优衣库,/服饰,支出,¥332.46,零钱,支付成功,4200000000400000,/,,
2026-04-27 09:47:57,商户消费,沙县小吃,/拌面蒸饺,支出,¥22.00,零钱,支付成功,4200000000410000,/,,
2026-04-28 11:06:25,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥22.73,零钱,支付成功,4200000000420000,/,,
2026-04-28 12:07:25,商户消费,沙县小吃,/拌面蒸饺,支出,¥12.16,零钱,支付成功,4200000000430000,/,,
2026-04-28 18:10:37,商户消费,京东商城,/数码配件,支出,¥214.75,零钱,支付成功,4200000000440000,/,,
2026-04-29 18:40:17,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥28.49,零钱,支付成功,4200000000450000,/,,
2026-04-30 12:36:00,商户消费,深圳地铁,/乘车码,支出,¥6.63,零钱,支付成功,4200000000460000,/,,
2026-05-01 12:43:06,商户消费,深圳地铁,/乘车码,支出,¥9.50,零钱,支付成功,4200000000470000,/,,
2026-05-01 12:57:04,商户消费,学校食堂,/就餐,支出,¥17.97,零钱,支付成功,4200000000480000,/,,
2026-05-02 13:04:11,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥8.76,零钱,支付成功,4200000000490000,/,,
2026-05-02 21:42:42,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥19.27,零钱,支付成功,4200000000500000,/,,
2026-05-03 07:37:36,商户消费,滴滴出行,/快车行程,支出,¥38.40,零钱,支付成功,4200000000510000,/,,
2026-05-03 17:01:04,商户消费,滴滴出行,/快车行程,支出,¥18.22,零钱,支付成功,4200000000520000,/,,
2026-05-05 10:23:23,商户消费,哈啰单车,/骑行,支出,¥4.86,零钱,支付成功,4200000000530000,/,,
2026-05-06 21:02:43,商户消费,哈啰单车,/骑行,支出,¥4.34,零钱,支付成功,4200000000540000,/,,
2026-05-07 14:10:27,商户消费,嘉立创,/PCB打样+元器件,支出,¥83.97,零钱,支付成功,4200000000550000,/,,
2026-05-09 10:51:39,商户消费,京东商城,/数码配件,支出,¥79.70,零钱,支付成功,4200000000560000,/,,
2026-05-09 14:46:53,商户消费,学校食堂,/就餐,支出,¥10.24,零钱,支付成功,4200000000570000,/,,
2026-05-10 12:23:40,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥18.15,零钱,支付成功,4200000000580000,/,,
2026-05-10 20:45:19,商户消费,沙县小吃,/拌面蒸饺,支出,¥24.14,零钱,支付成功,4200000000590000,/,,
2026-05-11 09:21:25,商户消费,拼多多,/日用品,支出,¥34.07,零钱,支付成功,4200000000600000,/,,
2026-05-11 13:34:06,商户消费,哈啰单车,/骑行,支出,¥3.71,零钱,支付成功,4200000000610000,/,,
2026-05-12 14:27:59,商户消费,哈啰单车,/骑行,支出,¥2.89,零钱,支付成功,4200000000620000,/,,
2026-05-12 20:13:25,商户消费,学校食堂,/就餐,支出,¥9.38,零钱,支付成功,4200000000630000,/,,
2026-05-15 15:11:21,商户消费,深圳地铁,/乘车码,支出,¥6.74,零钱,支付成功,4200000000640000,/,,
2026-05-15 22:35:31,商户消费,12306,/高铁票,支出,¥295.38,零钱,支付成功,4200000000650000,/,,
2026-05-16 11:07:52,商户消费,哈啰单车,/骑行,支出,¥2.27,零钱,支付成功,4200000000660000,/,,
2026-05-16 17:13:46,商户消费,沙县小吃,/拌面蒸饺,支出,¥21.31,零钱,支付成功,4200000000670000,/,,
2026-05-16 18:03:15,商户消费,中国移动,/话费充值,支出,¥33.15,零钱,支付成功,4200000000680000,/,,
2026-05-17 08:51:40,商户消费,哈啰单车,/骑行,支出,¥3.66,零钱,支付成功,4200000000690000,/,,
2026-05-17 17:24:43,商户消费,沃尔玛,/超市购物,支出,¥82.69,零钱,支付成功,4200000000700000,/,,
2026-05-17 19:51:09,商户消费,学校食堂,/就餐,支出,¥15.08,零钱,支付成功,4200000000710000,/,,
2026-05-18 09:52:56,商户消费,肯德基,/香辣鸡腿堡套餐,支出,¥40.05,零钱,支付成功,4200000000720000,/,,
2026-05-18 20:02:39,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥25.88,零钱,支付成功,4200000000730000,/,,
2026-05-18 21:06:05,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥6.46,零钱,支付成功,4200000000740000,/,,
2026-05-19 09:13:18,商户消费,美团外卖,/午餐订单,支出,¥27.76,零钱,支付成功,4200000000750000,/,,
2026-05-21 22:18:51,商户消费,公司,/工资代发,收入,¥8000.00,零钱,支付成功,4200000000760000,/,,
2026-05-21 23:41:00,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥25.39,零钱,支付成功,4200000000770000,/,,
2026-05-23 07:07:50,商户消费,哈啰单车,/骑行,支出,¥4.64,零钱,支付成功,4200000000780000,/,,
2026-05-23 17:10:30,商户消费,肯德基,/香辣鸡腿堡套餐,支出,¥41.98,零钱,支付成功,4200000000790000,/,,
2026-05-23 18:12:19,商户消费,哈啰单车,/骑行,支出,¥2.12,零钱,支付成功,4200000000800000,/,,
2026-05-24 07:10:51,商户消费,哈啰单车,/骑行,支出,¥2.65,零钱,支付成功,4200000000810000,/,,
2026-05-24 14:38:54,商户消费,学校食堂,/就餐,支出,¥15.29,零钱,支付成功,4200000000820000,/,,
2026-05-25 15:45:00,商户消费,沃尔玛,/超市购物,支出,¥52.52,零钱,支付成功,4200000000830000,/,,
2026-05-25 19:09:29,商户消费,深圳地铁,/乘车码,支出,¥8.40,零钱,支付成功,4200000000840000,/,,
2026-05-25 19:48:25,商户消费,学校食堂,/就餐,支出,¥11.91,零钱,支付成功,4200000000850000,/,,
2026-05-25 20:21:39,商户消费,美团外卖,/午餐订单,支出,¥34.59,零钱,支付成功,4200000000860000,/,,
2026-05-26 07:04:41,商户消费,深圳地铁,/乘车码,支出,¥10.81,零钱,支付成功,4200000000870000,/,,
2026-05-26 13:35:52,商户消费,学校食堂,/就餐,支出,¥13.68,零钱,支付成功,4200000000880000,/,,
2026-05-26 14:55:25,商户消费,学校食堂,/就餐,支出,¥18.05,零钱,支付成功,4200000000890000,/,,
2026-05-26 15:21:27,商户消费,沃尔玛,/超市购物,支出,¥143.57,零钱,支付成功,4200000000900000,/,,
2026-05-26 22:42:36,商户消费,深圳地铁,/乘车码,支出,¥3.29,零钱,支付成功,4200000000910000,/,,
2026-05-27 19:16:40,商户消费,美团外卖,/午餐订单,支出,¥19.72,零钱,支付成功,4200000000920000,/,,
2026-05-27 22:07:49,商户消费,大药房,/药品,支出,¥95.01,零钱,支付成功,4200000000930000,/,,
2026-05-27 23:14:23,商户消费,学校食堂,/就餐,支出,¥12.27,零钱,支付成功,4200000000940000,/,,
2026-06-01 21:23:06,商户消费,京东商城,/数码配件,支出,¥37.93,零钱,支付成功,4200000000950000,/,,
2026-06-02 08:46:46,商户消费,沙县小吃,/拌面蒸饺,支出,¥16.19,零钱,支付成功,4200000000960000,/,,
2026-06-02 18:55:36,商户消费,优衣库,/服饰,支出,¥194.92,零钱,支付成功,4200000000970000,/,,
2026-06-03 17:07:07,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥27.48,零钱,支付成功,4200000000980000,/,,
2026-06-04 19:42:27,商户消费,学校食堂,/就餐,支出,¥16.06,零钱,支付成功,4200000000990000,/,,
2026-06-04 20:20:14,商户消费,美团外卖,/午餐订单,支出,¥36.33,零钱,支付成功,4200000001000000,/,,
2026-06-05 12:55:32,商户消费,中国移动,/话费充值,支出,¥45.72,零钱,支付成功,4200000001010000,/,,
2026-06-06 23:56:53,商户消费,学校食堂,/就餐,支出,¥15.05,零钱,支付成功,4200000001020000,/,,
2026-06-07 18:49:58,商户消费,沃尔玛,/超市购物,支出,¥71.86,零钱,支付成功,4200000001030000,/,,
2026-06-09 11:28:44,商户消费,深圳地铁,/乘车码,支出,¥5.00,零钱,支付成功,4200000001040000,/,,
2026-06-10 08:06:36,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥17.43,零钱,支付成功,4200000001050000,/,,
2026-06-11 09:02:32,商户消费,学校食堂,/就餐,支出,¥11.27,零钱,支付成功,4200000001060000,/,,
2026-06-11 11:54:21,商户消费,深圳地铁,/乘车码,支出,¥7.52,零钱,支付成功,4200000001070000,/,,
2026-06-13 08:27:52,商户消费,深圳地铁,/乘车码,支出,¥7.38,零钱,支付成功,4200000001080000,/,,
2026-06-14 12:17:37,商户消费,深圳地铁,/乘车码,支出,¥3.64,零钱,支付成功,4200000001090000,/,,
2026-06-14 15:42:12,商户消费,学校食堂,/就餐,支出,¥17.35,零钱,支付成功,4200000001100000,/,,
2026-06-14 20:18:21,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥25.46,零钱,支付成功,4200000001110000,/,,
2026-06-14 22:20:08,商户消费,拼多多,/日用品,支出,¥16.36,零钱,支付成功,4200000001120000,/,,
2026-06-15 09:47:38,商户消费,深圳地铁,/乘车码,支出,¥9.06,零钱,支付成功,4200000001130000,/,,
2026-06-16 10:35:34,商户消费,导师,/助研津贴,收入,¥1038.88,零钱,支付成功,4200000001140000,/,,
2026-06-18 12:58:40,商户消费,深圳地铁,/乘车码,支出,¥10.21,零钱,支付成功,4200000001150000,/,,
2026-06-21 09:10:51,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥6.90,零钱,支付成功,4200000001160000,/,,
2026-06-23 10:20:12,商户消费,深圳地铁,/乘车码,支出,¥5.62,零钱,支付成功,4200000001170000,/,,
2026-06-23 18:53:51,商户消费,深圳地铁,/乘车码,支出,¥4.25,零钱,支付成功,4200000001180000,/,,
2026-06-24 12:02:50,商户消费,学校食堂,/就餐,支出,¥13.21,零钱,支付成功,4200000001190000,/,,
2026-06-24 21:14:05,商户消费,哈啰单车,/骑行,支出,¥1.78,零钱,支付成功,4200000001200000,/,,
2026-06-25 07:10:28,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥7.73,零钱,支付成功,4200000001210000,/,,
2026-06-25 22:27:20,商户消费,滴滴出行,/快车行程,支出,¥14.79,零钱,支付成功,4200000001220000,/,,
2026-06-26 17:13:33,商户消费,深圳地铁,/乘车码,支出,¥11.63,零钱,支付成功,4200000001230000,/,,
2026-06-27 18:16:06,商户消费,沙县小吃,/拌面蒸饺,支出,¥15.09,零钱,支付成功,4200000001240000,/,,
2026-06-28 23:38:29,商户消费,深圳地铁,/乘车码,支出,¥5.49,零钱,支付成功,4200000001250000,/,,
2026-06-29 19:05:01,商户消费,嘉立创,/PCB打样+元器件,支出,¥123.56,零钱,支付成功,4200000001260000,/,,
2026-07-02 13:04:30,商户消费,学校食堂,/就餐,支出,¥8.89,零钱,支付成功,4200000001270000,/,,
2026-07-02 21:21:46,商户消费,哈啰单车,/骑行,支出,¥2.21,零钱,支付成功,4200000001280000,/,,
2026-07-03 15:11:02,商户消费,当当网,/图书,支出,¥50.25,零钱,支付成功,4200000001290000,/,,
2026-07-03 18:18:45,商户消费,深圳地铁,/乘车码,支出,¥11.37,零钱,支付成功,4200000001300000,/,,
2026-07-04 13:50:35,商户消费,哈啰单车,/骑行,支出,¥1.82,零钱,支付成功,4200000001310000,/,,
2026-07-05 19:52:12,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥7.16,零钱,支付成功,4200000001320000,/,,
2026-07-05 22:41:50,商户消费,深圳地铁,/乘车码,支出,¥4.26,零钱,支付成功,4200000001330000,/,,
2026-07-06 13:44:07,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥18.84,零钱,支付成功,4200000001340000,/,,
2026-07-06 20:31:40,商户消费,肯德基,/香辣鸡腿堡套餐,支出,¥32.67,零钱,支付成功,4200000001350000,/,,
2026-07-07 20:13:39,商户消费,哈啰单车,/骑行,支出,¥1.70,零钱,支付成功,4200000001360000,/,,
2026-07-08 18:33:51,商户消费,沃尔玛,/超市购物,支出,¥149.84,零钱,支付成功,4200000001370000,/,,
2026-07-09 20:32:07,商户消费,拼多多,/日用品,支出,¥84.06,零钱,支付成功,4200000001380000,/,,
2026-07-10 09:02:22,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥23.66,零钱,支付成功,4200000001390000,/,,
2026-07-10 19:31:20,商户消费,学校食堂,/就餐,支出,¥8.37,零钱,支付成功,4200000001400000,/,,
2026-07-10 20:45:08,商户消费,中国移动,/话费充值,支出,¥32.43,零钱,支付成功,4200000001410000,/,,
2026-07-10 21:10:42,商户消费,滴滴出行,/快车行程,支出,¥23.33,零钱,支付成功,4200000001420000,/,,
2026-07-13 07:13:56,商户消费,哈啰单车,/骑行,支出,¥2.26,零钱,支付成功,4200000001430000,/,,
2026-07-13 21:22:03,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥11.82,零钱,支付成功,4200000001440000,/,,
2026-07-14 10:03:16,商户消费,优衣库,/服饰,支出,¥255.31,零钱,支付成功,4200000001450000,/,,
2026-07-14 23:01:09,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥23.67,零钱,支付成功,4200000001460000,/,,
2026-07-15 21:46:36,商户消费,拼多多,/日用品,支出,¥77.52,零钱,支付成功,4200000001470000,/,,
2026-07-18 17:00:23,商户消费,滴滴出行,/快车行程,支出,¥43.11,零钱,支付成功,4200000001480000,/,,
2026-07-18 21:22:13,商户消费,拼多多,/日用品,支出,¥44.53,零钱,支付成功,4200000001490000,/,,
2026-07-19 12:40:23,商户消费,哈啰单车,/骑行,支出,¥2.58,零钱,支付成功,4200000001500000,/,,
2026-07-20 13:19:01,商户消费,哈啰单车,/骑行,支出,¥2.33,零钱,支付成功,4200000001510000,/,,
2026-07-21 16:11:11,商户消费,学校食堂,/就餐,支出,¥19.04,零钱,支付成功,4200000001520000,/,,
2026-07-22 08:06:24,商户消费,深圳地铁,/乘车码,支出,¥11.67,零钱,支付成功,4200000001530000,/,,
2026-07-23 13:58:54,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥8.99,零钱,支付成功,4200000001540000,/,,
2026-07-24 08:38:01,商户消费,美团外卖,/午餐订单,支出,¥21.95,零钱,支付成功,4200000001550000,/,,
2026-07-24 11:14:09,商户消费,学校食堂,/就餐,支出,¥9.71,零钱,支付成功,4200000001560000,/,,
2026-07-24 12:08:00,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥17.42,零钱,支付成功,4200000001570000,/,,
2026-07-25 15:38:44,商户消费,美团外卖,/午餐订单,支出,¥19.15,零钱,支付成功,4200000001580000,/,,
2026-07-26 15:46:54,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥26.64,零钱,支付成功,4200000001590000,/,,
2026-07-27 18:48:10,商户消费,美团外卖,/午餐订单,支出,¥22.62,零钱,支付成功,4200000001600000,/,,
2026-07-27 20:02:57,商户消费,深圳地铁,/乘车码,支出,¥5.02,零钱,支付成功,4200000001610000,/,,
2026-07-28 16:44:49,商户消费,学校食堂,/就餐,支出,¥10.71,零钱,支付成功,4200000001620000,/,,
2026-07-28 18:40:23,商户消费,学校食堂,/就餐,支出,¥14.87,零钱,支付成功,4200000001630000,/,,
2026-07-29 11:41:38,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥28.15,零钱,支付成功,4200000001640000,/,,
2026-07-31 07:53:32,商户消费,嘉立创,/PCB打样+元器件,支出,¥43.87,零钱,支付成功,4200000001650000,/,,
2026-07-31 08:26:50,商户消费,美团外卖,/午餐订单,支出,¥34.29,零钱,支付成功,4200000001660000,/,,
2026-07-31 15:06:09,商户消费,拼多多,/日用品,支出,¥21.26,零钱,支付成功,4200000001670000,/,,
2026-08-01 21:52:42,商户消费,哈啰单车,/骑行,支出,¥2.62,零钱,支付成功,4200000001680000,/,,
2026-08-02 08:08:09,商户消费,沙县小吃,/拌面蒸饺,支出,¥16.48,零钱,支付成功,4200000001690000,/,,
2026-08-02 10:40:35,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥8.13,零钱,支付成功,4200000001700000,/,,
2026-08-03 20:16:37,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥6.75,零钱,支付成功,4200000001710000,/,,
2026-08-05 09:55:48,商户消费,Steam,/游戏,支出,¥223.52,零钱,支付成功,4200000001720000,/,,
2026-08-06 07:17:49,商户消费,美团外卖,/午餐订单,支出,¥22.52,零钱,支付成功,4200000001730000,/,,
2026-08-06 09:52:20,商户消费,哈啰单车,/骑行,支出,¥4.40,零钱,支付成功,4200000001740000,/,,
2026-08-06 22:40:51,商户消费,深圳地铁,/乘车码,支出,¥9.46,零钱,支付成功,4200000001750000,/,,
2026-08-07 14:49:58,商户消费,滴滴出行,/快车行程,支出,¥14.39,零钱,支付成功,4200000001760000,/,,
2026-08-08 11:22:47,商户消费,京东商城,/数码配件,支出,¥245.02,零钱,支付成功,4200000001770000,/,,
2026-08-09 23:55:00,商户消费,哈啰单车,/骑行,支出,¥1.98,零钱,支付成功,4200000001780000,/,,
2026-08-11 19:52:43,商户消费,蜜雪冰城,/冰鲜柠檬水,支出,¥6.68,零钱,支付成功,4200000001790000,/,,
2026-08-11 20:03:38,商户消费,美团外卖,/午餐订单,支出,¥26.97,零钱,支付成功,4200000001800000,/,,
2026-08-11 21:09:30,商户消费,公司,/工资代发,收入,¥8000.00,零钱,支付成功,4200000001810000,/,,
2026-08-11 23:32:05,商户消费,学校食堂,/就餐,支出,¥9.07,零钱,支付成功,4200000001820000,/,,
2026-08-12 14:13:44,商户消费,滴滴出行,/快车行程,支出,¥40.83,零钱,支付成功,4200000001830000,/,,
2026-08-12 22:01:14,商户消费,哔哩哔哩,/大会员,支出,¥23.08,零钱,支付成功,4200000001840000,/,,
2026-08-14 07:52:46,商户消费,京东商城,/数码配件,支出,¥52.80,零钱,支付成功,4200000001850000,/,,
2026-08-14 20:28:03,商户消费,学校食堂,/就餐,支出,¥11.89,零钱,支付成功,4200000001860000,/,,
2026-08-14 20:30:42,商户消费,拼多多,/日用品,支出,¥46.18,零钱,支付成功,4200000001870000,/,,
2026-08-15 07:05:43,商户消费,学校食堂,/就餐,支出,¥11.99,零钱,支付成功,4200000001880000,/,,
2026-08-15 11:55:12,商户消费,京东商城,/数码配件,支出,¥64.19,零钱,支付成功,4200000001890000,/,,
2026-08-16 09:26:59,商户消费,美团外卖,/午餐订单,支出,¥40.66,零钱,支付成功,4200000001900000,/,,
2026-08-16 10:47:44,商户消费,大药房,/药品,支出,¥95.57,零钱,支付成功,4200000001910000,/,,
2026-08-16 12:09:24,商户消费,哈啰单车,/骑行,支出,¥4.17,零钱,支付成功,4200000001920000,/,,
2026-08-16 13:25:11,商户消费,沙县小吃,/拌面蒸饺,支出,¥16.26,零钱,支付成功,4200000001930000,/,,
2026-08-16 13:48:46,商户消费,当当网,/图书,支出,¥124.74,零钱,支付成功,4200000001940000,/,,
2026-08-16 17:50:47,商户消费,深圳地铁,/乘车码,支出,¥10.27,零钱,支付成功,4200000001950000,/,,
2026-08-18 14:44:32,商户消费,滴滴出行,/快车行程,支出,¥29.88,零钱,支付成功,4200000001960000,/,,
2026-08-18 22:08:31,商户消费,哈啰单车,/骑行,支出,¥2.09,零钱,支付成功,4200000001970000,/,,
2026-08-19 07:31:55,商户消费,学校食堂,/就餐,支出,¥8.22,零钱,支付成功,4200000001980000,/,,
2026-08-19 19:44:04,商户消费,学校食堂,/就餐,支出,¥11.84,零钱,支付成功,4200000001990000,/,,
2026-08-20 13:54:42,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥20.16,零钱,支付成功,4200000002000000,/,,
2026-08-20 14:22:06,商户消费,深圳地铁,/乘车码,支出,¥8.41,零钱,支付成功,4200000002010000,/,,
2026-08-20 21:33:56,商户消费,美团外卖,/午餐订单,支出,¥39.50,零钱,支付成功,4200000002020000,/,,
2026-08-21 09:00:36,商户消费,学校食堂,/就餐,支出,¥12.87,零钱,支付成功,4200000002030000,/,,
2026-08-22 17:54:01,商户消费,美团外卖,/午餐订单,支出,¥36.66,零钱,支付成功,4200000002040000,/,,
2026-08-22 20:38:21,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥15.54,零钱,支付成功,4200000002050000,/,,
2026-08-22 23:29:10,商户消费,深圳地铁,/乘车码,支出,¥4.11,零钱,支付成功,4200000002060000,/,,
2026-08-23 14:56:50,商户消费,学校食堂,/就餐,支出,¥12.88,零钱,支付成功,4200000002070000,/,,
2026-08-24 12:06:24,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥28.26,零钱,支付成功,4200000002080000,/,,
2026-08-24 13:22:40,商户消费,滴滴出行,/快车行程,支出,¥28.12,零钱,支付成功,4200000002090000,/,,
2026-08-25 15:21:37,商户消费,中国移动,/话费充值,支出,¥86.82,零钱,支付成功,4200000002100000,/,,
2026-08-26 10:50:36,商户消费,学校食堂,/就餐,支出,¥16.27,零钱,支付成功,4200000002110000,/,,
2026-08-26 15:17:47,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥27.43,零钱,支付成功,4200000002120000,/,,
2026-08-26 18:50:57,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥26.77,零钱,支付成功,4200000002130000,/,,
2026-08-28 15:53:50,商户消费,深圳地铁,/乘车码,支出,¥6.02,零钱,支付成功,4200000002140000,/,,
2026-08-29 09:32:13,商户消费,学校食堂,/就餐,支出,¥10.28,零钱,支付成功,4200000002150000,/,,
2026-08-29 16:30:08,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥26.48,零钱,支付成功,4200000002160000,/,,
2026-08-29 22:12:21,商户消费,学校食堂,/就餐,支出,¥11.71,零钱,支付成功,4200000002170000,/,,
2026-08-30 08:44:36,商户消费,沃尔玛,/超市购物,支出,¥56.41,零钱,支付成功,4200000002180000,/,,
2026-09-01 07:22:51,商户消费,滴滴出行,/快车行程,支出,¥42.90,零钱,支付成功,4200000002190000,/,,
2026-09-01 07:29:58,商户消费,中国移动,/话费充值,支出,¥92.24,零钱,支付成功,4200000002200000,/,,
2026-09-01 07:58:16,商户消费,导师,/助研津贴,收入,¥987.95,零钱,支付成功,4200000002210000,/,,
2026-09-01 09:18:43,商户消费,深圳地铁,/乘车码,支出,¥8.36,零钱,支付成功,4200000002220000,/,,
2026-09-01 10:37:38,商户消费,万达影城,/电影票,支出,¥53.66,零钱,支付成功,4200000002230000,/,,
2026-09-01 11:03:16,商户消费,公司,/工资代发,收入,¥8000.00,零钱,支付成功,4200000002240000,/,,
2026-09-01 11:04:35,商户消费,瑞幸咖啡,/生椰拿铁,支出,¥28.63,零钱,支付成功,4200000002250000,/,,
